"_id","emotion","id","negative_prob","positive_prob"
"6039c317c24900009500a1ab","-1","BryPo1wfg","0.929958","0.0700419"
"6039c317c24900009500a1ac","-1","yCqAFpVlw","0.989544","0.0104561"
"6039c317c24900009500a1ad","1","CdZb36du9","0.158216","0.841784"
"6039c317c24900009500a1ae","-1","IjIFe7sEk","0.999584","0.000415869"
"6039c317c24900009500a1af","1","B7bM3eAah","0.277645","0.722355"
"6039c317c24900009500a1b0","-1","CgxKbs0aY","0.659421","0.340579"
"6039c317c24900009500a1b1","-1","EFEGqaNKQ","0.999773","0.000226597"
"6039c317c24900009500a1b2","-1","EdQnYhLOC","0.999825","0.000174689"
"6039c317c24900009500a1b3","-1","yECrZhcdJ","0.76689","0.23311"
"6039c317c24900009500a1b4","1","GtljaztRk","0.270346","0.729654"
"6039c317c24900009500a1b5","-1","EAEDpx5l2","0.96055","0.0394498"
"6039c317c24900009500a1b6","-1","C3VgaBIfW","0.999978","2.23819e-05"
"6039c317c24900009500a1b7","-1","J1A6FrQAn","0.99939","0.000609965"
"6039c317c24900009500a1b8","0","Cwx2QzTgi","0.453639","0.546361"
"6039c317c24900009500a1b9","-1","zd22wzxqE","0.998489","0.00151081"
"6039c317c24900009500a1ba","1","zlgCjq48q","0.386177","0.613823"
"6039c317c24900009500a1bb","-1","BEtk39Bld","0.972681","0.0273186"
"6039c317c24900009500a1bc","-1","Ce9kn0TCs","0.999865","0.000135018"
"6039c317c24900009500a1bd","1","B8RqPkRob","0.175851","0.824149"
"6039c317c24900009500a1be","1","DpLAv9ZTU","0.265548","0.734452"
"6039c317c24900009500a1bf","1","CuxL2xnNl","0.0672883","0.932712"
"6039c317c24900009500a1c0","1","CdTqk7q2a","0.242661","0.757339"
"6039c317c24900009500a1c1","-1","A3YtUiXS5","0.925798","0.0742019"
"6039c317c24900009500a1c2","-1","F5jgci2ZB","0.646959","0.353041"
"6039c317c24900009500a1c3","1","GoPYUs9hC","0.0199654","0.980035"
